Name,E[Cost],E[Effect],E[dCost],E[dEffect],ICER
None,"6,056 (5,758, 6,356)","5.85 (5.65, 6.05)",-,-,-
Anticoag,"20,707 (19,972, 21,443)","6.57 (6.35, 6.80)","14,651 (13,240, 16,061)","0.72 (0.19, 1.26)","20,233.82 (15,049.89, 32,488.66)"
